CASH_ADVANCE,BALANCE,CREDIT_LIMIT,PAYMENTS,Cluster_Cash_Advance
0.0,40.900749,1000.0,201.802084,0
6442.945483,3202.467416,7000.0,4103.032597,3
0.0,2495.148862,7500.0,622.066742,2
205.788017,1666.670542,7500.0,0.0,2
0.0,817.714335,1200.0,678.334763,0
0.0,1809.828751,1800.0,1400.05777,0
0.0,627.260806,13500.0,6354.314328,3
0.0,1823.652743,2300.0,679.065082,0
0.0,1014.926473,7000.0,688.278568,2
0.0,152.225975,11000.0,1164.770591,2
0.0,1293.124939,1200.0,1083.301007,0
0.0,630.794744,2000.0,705.618627,0
0.0,1516.92862,3000.0,608.263689,0
0.0,921.693369,7500.0,1655.891435,2
346.81139,2772.772734,3000.0,805.647974,0
2301.491267,6886.213231,8000.0,1993.439277,3
2784.274703,2072.074354,3000.0,391.974562,0
0.0,41.089489,2500.0,254.590662,0
0.0,1989.072228,13000.0,1720.837373,3
0.0,3577.970933,4000.0,1053.980464,0
0.0,2016.684686,2000.0,223.0686,0
229.028245,6369.531318,11250.0,2077.959051,3
0.0,132.34224,1800.0,2359.629958,0
7974.415626,3800.151377,9000.0,9479.043842,3
798.949863,5368.571219,6000.0,1422.726707,2
0.0,169.781679,3000.0,215.306142,0
244.840485,1615.96724,1700.0,890.178845,0
0.0,125.694817,1000.0,207.773715,0
2236.145259,7152.864372,10500.0,1601.448347,3
0.0,22.06349,6900.0,160.767773,2
3183.583301,12136.21996,13000.0,4230.323491,3
175.815755,1162.273324,6000.0,645.998299,2
1189.533753,6732.823064,10500.0,1720.118876,3
0.0,125.660453,1200.0,423.449696,0
0.0,3517.101616,11000.0,8735.607835,3
99.264367,1656.350781,1800.0,351.500199,0
8873.375046,7427.076941,9000.0,1636.361601,3
1697.660901,4047.480828,5000.0,1617.894416,2
2925.699862,6269.418144,9000.0,1237.111661,3
6173.682877,1411.60223,7500.0,20071.07544,1
3133.063934,663.44781,1800.0,3067.05783,0
2188.419607,784.889762,3000.0,1262.309666,0
0.0,4104.710798,4500.0,868.275275,2
1481.587093,1360.742377,1500.0,378.294227,0
0.0,5315.945594,8500.0,1430.341501,2
184.648692,2242.311686,2400.0,0.0,0
1013.659552,474.447149,1700.0,176.013005,0
1980.873201,3910.111237,4200.0,0.0,2
0.0,229.867179,3300.0,2543.953559,0
695.097159,863.809833,4000.0,587.866451,0
8530.648614,4931.331857,12000.0,8113.297346,3
0.0,1078.888565,2500.0,1399.82834,0
321.359135,1565.681099,3500.0,691.825279,0
1981.265503,464.674156,3000.0,3110.052742,0
0.0,6.660517,1000.0,417.016763,0
0.0,1311.995984,6000.0,0.0,2
668.468743,3625.218146,4000.0,0.0,0
0.0,2386.330629,7500.0,5678.729613,2
224.575517,3971.138765,4000.0,764.938728,0
970.591332,5493.90406,6000.0,2110.557023,2
0.0,1879.114033,6500.0,3509.686561,2
0.0,1555.793701,1600.0,338.083661,0
3819.672466,809.582978,4150.0,4372.148648,2
0.0,7.152356,1600.0,0.0,0
1605.949371,1923.886805,1850.0,3688.045998,0
0.0,1758.059987,1800.0,777.451648,0
908.423608,809.847455,1500.0,146.074769,0
382.908547,1576.305029,2500.0,540.022225,0
0.0,3990.523579,6000.0,6876.836205,2
0.0,1699.435486,1700.0,1623.816348,0
625.399386,5487.683724,6250.0,1288.214909,2
27296.48576,2990.422186,7000.0,28232.69446,1
1474.349901,656.01301,7000.0,910.457985,2
0.0,1808.972419,2250.0,889.017418,0
0.0,532.334517,6000.0,1305.177304,2
0.0,5860.433624,6000.0,1990.044998,2
0.0,1727.638449,11000.0,2959.920544,2
0.0,578.809679,1500.0,1438.910569,0
38.325801,1205.716678,1200.0,29.278671,0
4621.93458,6593.820644,7000.0,1624.583114,3
0.0,17.357563,5000.0,357.802082,0
2985.300006,81.584711,9500.0,116.569033,2
0.0,3.78631,12000.0,210.053432,2
0.0,42.46443,1200.0,725.606194,0
293.844792,1935.362486,9000.0,4921.066897,2
0.0,134.917202,16500.0,1275.229436,3
5626.004046,7069.950386,11000.0,4589.873897,3
5251.228934,8181.251131,13500.0,3021.575846,3
104.238064,4037.305658,4500.0,1073.844885,2
