Variable 1,Variable 2,Correlation
PURCHASES,ONEOFF_PURCHASES,0.9168436510439889
PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,0.8629209546628508
CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,0.799572517939998
PURCHASES,PURCHASES_TRX,0.6895517704224532
PURCHASES,INSTALLMENTS_PURCHASES,0.6798885937366914
CASH_ADVANCE,CASH_ADVANCE_TRX,0.6564928493520323
CASH_ADVANCE,CASH_ADVANCE_FREQUENCY,0.6285346033402817
INSTALLMENTS_PURCHASES,PURCHASES_TRX,0.628097019358736
PURCHASES,PAYMENTS,0.6032519685836893
PURCHASES_FREQUENCY,PURCHASES_TRX,0.5684075630925155
ONEOFF_PURCHASES,PAYMENTS,0.567283144270986
ONEOFF_PURCHASES,PURCHASES_TRX,0.5455142383504036
ONEOFF_PURCHASES_FREQUENCY,PURCHASES_TRX,0.5448491066343555
BALANCE,CREDIT_LIMIT,0.5312834611329127
PURCHASES_INSTALLMENTS_FREQUENCY,PURCHASES_TRX,0.529949297731135
ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY,0.5248812578537019
INSTALLMENTS_PURCHASES,PURCHASES_INSTALLMENTS_FREQUENCY,0.5113341749620979
PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,0.5013051913467168
