BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,Cluster
40.900749,95.4,1000.0,201.802084,0
3202.467416,0.0,7000.0,4103.032597,3
2495.148862,773.17,7500.0,622.066742,3
1666.670542,1499.0,7500.0,0.0,3
817.714335,16.0,1200.0,678.334763,0
1809.828751,1333.28,1800.0,1400.05777,0
627.260806,7091.01,13500.0,6354.314328,1
1823.652743,436.2,2300.0,679.065082,0
1014.926473,861.49,7000.0,688.278568,3
152.225975,1281.6,11000.0,1164.770591,3
1293.124939,920.12,1200.0,1083.301007,0
630.794744,1492.18,2000.0,705.618627,0
1516.92862,3217.99,3000.0,608.263689,0
921.693369,2137.93,7500.0,1655.891435,3
2772.772734,0.0,3000.0,805.647974,0
6886.213231,1611.7,8000.0,1993.439277,1
2072.074354,0.0,3000.0,391.974562,0
41.089489,519.0,2500.0,254.590662,0
1989.072228,504.35,13000.0,1720.837373,1
3577.970933,398.64,4000.0,1053.980464,3
2016.684686,176.68,2000.0,223.0686,0
6369.531318,6359.95,11250.0,2077.959051,1
132.34224,815.9,1800.0,2359.629958,0
3800.151377,4248.35,9000.0,9479.043842,1
5368.571219,0.0,6000.0,1422.726707,3
169.781679,399.6,3000.0,215.306142,0
1615.96724,102.0,1700.0,890.178845,0
125.694817,233.28,1000.0,207.773715,0
7152.864372,387.05,10500.0,1601.448347,1
22.06349,100.0,6900.0,160.767773,3
12136.21996,3038.01,13000.0,4230.323491,1
1162.273324,1347.71,6000.0,645.998299,3
6732.823064,324.95,10500.0,1720.118876,1
125.660453,636.79,1200.0,423.449696,0
3517.101616,547.28,11000.0,8735.607835,1
1656.350781,0.0,1800.0,351.500199,0
7427.076941,0.0,9000.0,1636.361601,1
4047.480828,2380.55,5000.0,1617.894416,3
6269.418144,204.0,9000.0,1237.111661,1
1411.60223,963.24,7500.0,20071.07544,2
663.44781,0.0,1800.0,3067.05783,0
784.889762,1526.59,3000.0,1262.309666,0
4104.710798,203.82,4500.0,868.275275,3
1360.742377,0.0,1500.0,378.294227,0
5315.945594,1525.44,8500.0,1430.341501,1
2242.311686,437.0,2400.0,0.0,0
474.447149,109.74,1700.0,176.013005,0
3910.111237,0.0,4200.0,0.0,0
229.867179,2390.6,3300.0,2543.953559,0
863.809833,507.5,4000.0,587.866451,0
4931.331857,901.42,12000.0,8113.297346,1
1078.888565,3107.85,2500.0,1399.82834,0
1565.681099,0.0,3500.0,691.825279,0
464.674156,1979.22,3000.0,3110.052742,0
6.660517,310.0,1000.0,417.016763,0
1311.995984,1283.9,6000.0,0.0,3
3625.218146,313.27,4000.0,0.0,0
2386.330629,5217.62,7500.0,5678.729613,3
3971.138765,0.0,4000.0,764.938728,0
5493.90406,229.0,6000.0,2110.557023,3
1879.114033,113.0,6500.0,3509.686561,3
1555.793701,66.2,1600.0,338.083661,0
809.582978,0.0,4150.0,4372.148648,3
7.152356,840.0,1600.0,0.0,0
1923.886805,1887.64,1850.0,3688.045998,0
1758.059987,412.33,1800.0,777.451648,0
809.847455,0.0,1500.0,146.074769,0
1576.305029,0.0,2500.0,540.022225,0
3990.523579,263.5,6000.0,6876.836205,3
1699.435486,1363.69,1700.0,1623.816348,0
5487.683724,419.1,6250.0,1288.214909,3
2990.422186,4523.27,7000.0,28232.69446,2
656.01301,0.0,7000.0,910.457985,3
1808.972419,713.9,2250.0,889.017418,0
532.334517,791.94,6000.0,1305.177304,3
5860.433624,561.87,6000.0,1990.044998,3
1727.638449,606.11,11000.0,2959.920544,1
578.809679,320.0,1500.0,1438.910569,0
1205.716678,0.0,1200.0,29.278671,0
6593.820644,388.66,7000.0,1624.583114,3
17.357563,244.85,5000.0,357.802082,0
81.584711,0.0,9500.0,116.569033,3
3.78631,133.05,12000.0,210.053432,3
42.46443,396.0,1200.0,725.606194,0
1935.362486,4915.6,9000.0,4921.066897,3
134.917202,1247.8,16500.0,1275.229436,1
7069.950386,1603.78,11000.0,4589.873897,1
8181.251131,2258.01,13500.0,3021.575846,1
4037.305658,45.0,4500.0,1073.844885,3
6110.265264,0.0,6500.0,1502.205631,3
9381.255094,5100.07,9000.0,6409.496345,1
1977.00709,1032.04,4000.0,3056.424974,3
1321.47608,45.65,1800.0,440.840439,0
1307.717841,405.6,2400.0,0.0,0
2329.485768,213.34,2400.0,0.0,0
1139.782882,0.0,1200.0,151.823651,0
1619.955708,739.44,6000.0,417.128532,3
3505.671311,0.0,4000.0,0.0,0
